CSUS	25581
CSCA	110190
CSUS	126626
CSAU	11999
CSCA	113979
CSUS	1829
CSUS	36594
CSUS	116618
CSUS	115100
CSUK	16658
CSUK	45110
CSUS	21490
CSCA	110655
CSUS	32332
CSUS	32997
CSUS	80600
CSCA	112155
CSUK	4012
CSUS	26615
CSUS	69881
CSUS	24494
CSUS	315
CSAU	30293
CSIN	35342
CSUS	135644
CSUS	121220
CSCA	113839
CSAU	30278
CSUK	26675
CSUK	17358
CSUS	141164
CSAU	14790
CSUS	26873
CSUS	130139
CSUS	40118
CSIN	50261
CSUK	43031
CSUS	61691
CSCA	114713
CSUS	37145
CSUS	27181
CSUK	42377
CSUS	145205
CSAU	9491
CSUS	35252
CSIN	50246
CSUS	26303
CSUS	7638
CSUS	126134
CSUS	48734
CSUS	33207
CSUS	141032
CSUS	30603
CSUS	26268
CSUK	42206
CSUS	24472
CSUS	132911
CSAU	13634
CSUS	139235
CSAU	9210
CSUS	32508
CSUS	130196
CSUS	86000
CSUK	12619
CSUS	73049
CSDE|CSUS	18314|5112
CSUS	83027
CSUS	25776
CSUS	36414
CSUS	48056
CSUS	134072
CSUS	139172
CSUK	25499
CSUS	127670
CSUS	32653
CSUS	36486
CSUS	25263
CSUS	25493
CSUK	42050
CSUS	24393
CSUS	12856
CSUS	116861
CSUS	124595
CSUS	140390
CSUS	25762
CSAU	30974
CSUS	133151
CSCA	113590
CSCA	110274
CSUS	29621
CSUK	14070
CSUS	145988
CSUS	67292
CSUS	84014
CSUS	137513
CSUS	124523
CSUS	26054
CSUS	32278
CSUS	146600
CSCA	113405
CSUS	10015
CSUS	86621
CSUS	14141
CSCA	118139
CSUS	20672
CSUS	106652
CSUS	32284
CSUS	25771
CSUS	130823
CSUS	71117
CSAU	31274
CSUS	36901
CSUS	144518
CSUS	26003
CSUS	35444
CSUK	16720
CSUS	59183
CSUS	97613
CSUS	26237
CSUS	84332
CSUS	116780
CSUS	19060
CSUS	128672
CSUS	31516
CSCA	111834
CSUS	17074
CSUS	73346
CSUS	25666
CSAU	14840
CSUS	26012
CSUS	24200
CSIN	40361
CSUK	13240
CSUS	26025
CSUS	85466
CSUK|CSUS	11888|11552
CSUS	117446
CSUS	25457
CSAU	9123
CSUS	17518
CSUS	133244
CSUS	24312
CSUS	76829
CSUS	129968
CSUS	76
CSUS	40433
CSUS	147140
CSUS	18059
CSUK	25301
CSUS	136220
CSUS	33621
CSUS	88859
CSUS	33274
CSUS	137534
CSUS	70211
CSUK	31595
CSUS	29561
CSUS	36649
CSUK	25931
CSAU	7170
CSUS	12135
CSUS	121238
CSUK	49358
CSUK	42908
CSUS	13188
CSAU	17141
CSUS	25639
CSUK	28319
CSUS	25897
CSAU	30890
CSUS	37674
CSUS	34476
CSCA	113894
CSUS	25620
CSCA	112866
CSAU	14900
CSUK	39700
CSUS	85457
CSUK|CSUS	8325|22837
CSUS	73391
CSUS	82055
CSIN	50156
CSUS	26138
CSUS	32891
CSUS	52187
CSUS	32537
CSCA	114370
CSUS	84689
CSUS	33801
CSUS	24423
CSUS	139136
CSUS	76817
CSUS	26011
CSUS	10795
CSCA	112583
CSUS	140714
CSUS	24036
CSUS	25285
CSIN	44393
CSUS	19762
CSUS	84602
CSUK	41342
CSUS	139757
CSUS	20795
CSIN	50075
CSUS	4425
CSUS	25725
CSCA	113908
CSUK	15621
CSUS	63221
CSCA	112278
CSUS	25951
CSUS	25997
CSUK	49379
CSUS	77561
CSFR|CSDE|CSUS	14753|13276|22938
CSUS	120977
CSUS	25909
CSUS	37213
CSUS	133220
CSAU	31967
CSUS	119615
CSUS	140525
CSIN	41150
CSUS	66518
CSAU	21884
CSUS	13393
CSUS	25315
CSUS	139382
CSUS	17574
CSUS	33910
CSUS	129152
CSUS	32678
CSUS	69926
CSUS	8715
CSUS	75722
CSUS	130673
CSUS	116771
CSUS	147329
CSUS	17565
CSAU	19622
CSUS	36174
CSUS	87131
CSUS	38467
CSUS	126212
CSUS	17390
CSUS	87215
CSUS	25634
CSCA	112022
CSUS	10235
CSUS	69176
CSUS	125405
CSAU	32339
CSUS	121175
CSAU	9161
CSUS	138509
CSUS	629
CSAU	30305
CSUS	38187
CSUS	35114
CSUS	126005
CSUS	33028
CSUS	137387
CSUS	82991
CSUK	7916
CSUS	39522
CSAU	9618
CSUS	26484
CSUS	12203
CSUS	140603
CSAU	18746
CSUK|CSFR	42200|19832
CSUS	27159
CSIN	48296
