CSAU	9618	C
CSUS	26484	C
CSUS	12203	C
CSUS	140603	C
CSAU	18746	C
CSUK|CSFR	42200|19832	C
CSUS	27159	C
CSIN	48296	C
CSUS	26832	C
CSUK|CSUS	16769|11795	B
CSUS	33998	C
CSUS	114392	C
CSUS	25657	C
CSUS	32193	C
CSUS	17153	B
CSUS	30321	C
CSUS	144935	C
CSUS	130379	C
CSUK	18883	C
CSUS	637	B
CSAU	30518	C
CSUS	17571	C
CSAU	15647	C
CSUS	18845	A
CSUS	24407	C
CSUS	40431	C
CSUS	79514	C
CSAU	31802	C
CSUK	4071	C
CSCA	112809	C
CSUS	37880	C
CSUS	17839	C
CSUS	33196	C
CSUS	145349	C
CSUS	56546	C
CSUS	73313	C
CSUK	24782	C
CSUS	36208	C
CSUS	25907	C
CSUS	147194	C
CSAU	30716	C
CSUS	119885	C
CSUS	22463	C
CSUS	34230	C
CSUS	17846	C
CSUS	64898	C
CSUS	33730	C
CSUS	137867	C
CSUK	33767	B
CSUS	52301	C
CSCA	113452	C
CSUS	138104	B
CSUS	138128	C
CSUS	51350	C
CSUS	11769	C
CSUS	119297	C
CSUS	26944	C
CSUS	83690	C
CSUS	26940	B
CSAU	25415	C
CSUS	84632	C
CSUS	130514	C
CSUK	1377	B
CSUK	15149	C
CSUK	25946	C
CSUS	39116	C
CSUS	121250	C
CSUS	65345	C
CSUS	137750	C
CSUK	20124	C
CSUS	36115	C
CSCA	117641	C
CSUS	38498	C
CSUS	143477	C
CSUK	49457	C
CSUS	3483	A
CSUS	49409	C
CSCA	116423	C
CSUS	27882	C
CSUS	12233	C
CSUS	26143	C
CSUS	77612	C
CSUS	30807	B
CSAU	32390	C
CSUS	80132	C
CSCA	113709	C
CSUS	138098	C
CSUS	130157	C
CSUS	9769	B
CSUS	140957	C
CSUS	25569	C
CSUS	12356	C
CSUS	31790	C
CSAU	29003	C
CSUS	137021	C
CSUS	18301	C
CSCA	112265	C
CSAU	10140	C
CSUK	40460	C
CSUS	37592	C
CSUS	4563	C
CSUS	84686	C
CSAU	26024	C
CSUK	42632	B
CSUS	139718	C
CSCA	110134	A
CSUS	32826	C
CSUS	16666	B
CSUS	3124	A
CSUS	10009	B
CSUS	110627	B
CSUS	10512	B
CSAU	20735	A
CSUS	89804	A
CSUS	37864	A
CSIN	47582	B
CSUS	17027	A
CSUS	35134	B
CSUK	49346	A
CSUK|CSFR	11511|14210	A
CSUK	9705	B
CSCA	114059	B
CSAU	14529	B
CSUS	10474	A
CSUS	9986	B
CSUS	130424	B
CSUK	16827	B
CSUS	118928	A
CSUS	4670	A
CSUS	10586	A
CSUS	29454	A
CSUS	112100	B
CSUS	24961	B
CSUK	49718	B
CSUS	25536	C
CSUS	133139	B
CSUS	8067	A
CSUS	77417	C
CSUS	3488	B
CSUS	2735	A
CSUK	5958	B
CSUS	69503	B
CSUS	34039	A
CSUS	7106	B
CSUS	106520	A
CSUS	119576	B
CSUS	25337	B
CSUK	20627	A
CSUS	18022	B
CSUS	26753	A
CSUS	39898	A
CSUS	25614	B
CSUS	36918	A
CSUS	5807	B
CSUS	37268	B
CSUS	88283	B
CSUS|CSDE|CSFR	33591|18743|25190	B
CSUS	36331	B
CSUS	35778	B
CSUS	89561	B
CSUS	36580	B
CSUS	147326	B
CSUS	7427	A
CSUS	5903	B
CSAU	9379	B
CSCA	110410	B
CSUS	38225	B
CSUS	147752	A
CSUS	37556	B
CSUS	139730	A
CSUS	72146	A
CSUS|CSFR	32369|26228	A
CSUS	138212	B
CSUS	141584	A
CSUS	18061	B
CSUK	18885	A
CSUS	136445	B
CSUS	77657	B
CSUS	216	B
CSAU	9791	A
CSUS	90362	B
CSUS	81455	B
CSUS	10846	B
CSUK	15915	A
CSUS	4441	A
CSUS	13262	A
CSUS	12904	B
CSUS	81473	B
CSUK|CSUS	28304|25441	B
CSCA	110699	A
CSUS	66920	A
CSUS	55502	A
CSUS	17443	B
CSUS	12209	A
CSUS	10718	B
CSUS	39601	B
CSUS	34948	A
CSUS	39440	C
CSUS	120644	B
CSUK	18852	B
CSUS	147488	A
CSCA	110887	B
CSUS	141482	B
CSUK	12075	B
CSUS	40986	B
CSUS	32422	B
CSUS	40711	B
CSUS	19954	A
CSUS	38150	B
CSAU	32114	A
CSUS	89583	B
CSUK	11833	B
CSUS	36357	A
CSUS	23842	B
CSAU	12988	A
CSUK	15087	B
CSUS	85220	B
CSUS	60725	B
CSCA	113230	B
CSUS	39426	A
CSUS	40630	B
CSCA	110832	A
CSUS	18783	B
CSUS	6319	A
CSUS	1659	A
CSUS	14399	B
CSUS	633	B
CSCA	110827	B
CSCA	110137	A
CSUS	37336	A
CSUS	36989	B
CSUK	12418	B
CSUS	72692	B
CSUK	4325	B
CSUS	21961	B
CSUS	2616	B
CSUS	6643	B
CSUS	65270	B
CSUS	85841	B
CSUS	36643	B
CSUS	15987	B
CSUS	32	A
CSUK	38897	B
CSUS	18902	B
CSCA	112471	B
CSUS	36340	B
CSUS	16052	A
CSUS	39495	B
CSUS	102701	A
CSUS	35484	B
CSUS	116624	B
CSUS	135434	B
CSUS	34141	B
CSUS	28338	B
CSUK|CSUS	8388|38057	A
CSUS	36123	A
CSUK	16521	A
CSUS	67007	A
CSAU	8761	A
CSUS	14452	B
CSAU	30236	B
CSUK	15406	B
CSAU	31940	A
CSUS	75194	B
CSUS	12229	B
CSUS	33356	B
CSUS	93	B
CSUS	16549	B
CSCA	110009	B
CSUS	11177	B
CSUS	40529	B
CSUS	82334	B
CSUS	37807	B
CSUK	42482	B
CSUS	65360	B
CSUS	69065	B
CSUS	49	B
CSUS	123851	B
CSUS	37819	B
CSUS	37176	A
CSUK|CSDE|CSUS	6931|17486|25433	A
CSUS	32967	B
CSAU	7641	B
CSUS	17418	B
CSUS	38413	B
CSUS	20830	B
CSUS	125180	B
CSCA	111250	A
CSUS	36296	B
CSUS	33696	B
CSUS	25611	B
CSUK	3329	B
CSUS	36483	B
CSUS	8747	B
CSAU	15791	A
CSUS	32387	B
CSUK	34091	B
CSUS	41025	B
CSUS	36266	B
CSUS	32514	B
CSUS	24389	A
CSAU	9357	A
CSUS	20861	B
CSUS	11064	B
CSUS	27079	B
CSUS	125651	B
CSUS	69887	B
CSUS	87389	B
CSUS	53150	B
CSUS	37044	A
CSUS	67283	B
CSUS	38054	B
CSUS	129833	A
CSUS	12288	A
CSUS|CSDE	19092|21458	B
CSUS	24426	B
CSUS	35332	B
CSUS	39622	A
CSUK	13978	A
CSUS	30756	B
CSUS	6245	B
CSUS	6195	B
CSUS	34284	B
CSUS	37575	B
CSUS	112103	B
CSUS	42017	B
CSUS	116999	B
CSUS	124820	A
CSUS	17845	B
CSAU	11184	B
CSUS	1678	B
CSAU	16115	B
CSUS	1105	B
CSUS	73658	B
CSUS	67502	B
CSUK	44675	B
CSUS	52535	B
CSUS	7806	B
CSUS	13618	B
CSUK	13430	B
CSUS	133127	B
CSUK	49211	A
CSUS	3129	A
CSUS	5879	B
CSUS	53867	B
CSUS	35515	B
CSUS	106853	A
CSCA	115152	B
CSUS	26629	B
CSUS	127700	B
CSUS	147344	B
CSUS	114611	A
CSAU	7010	B
CSCA	110020	B
CSUS	24385	B
CSUS	23598	B
CSUS	133352	C
CSUS	12323	B
CSUS	16971	A
CSUS	15129	B
CSAU	9538	A
CSAU	7016	B
CSUS	33877	B
CSUS	16378	B
CSCA	112452	B
CSUS	126590	B
CSUS	131996	B
CSUS|CSAU	134858|32936	B
CSUS	34904	B
CSUS	146123	A
CSUS	147581	B
CSUS	17319	B
CSAU	9341	A
CSUS	147917	A
CSUS	59984	B
CSUS	9685	B
CSUS	79760	B
CSUK	7345	B
CSUS	17078	B
CSUK	16779	B
CSUS	6660	B
CSUS	11095	B
CSUS	5925	B
CSUS	130334	A
CSUK	15293	A
CSUS	145283	A
CSAU	14718	B
CSAU|CSDE	16352|36749	B
CSUS	12278	B
CSUS	9780	B
CSUS	16577	B
CSUS	124349	A
CSUS	112049	B
CSUS	37814	B
CSUS	24661	B
CSUS	25967	B
CSUS	58958	A
CSUS	3470	B
CSUS	86729	B
CSCA	110387	A
CSUS	114335	B
CSUS	40683	C
CSUS	132908	B
CSUS	30233	B
