69578,5265,Discovery Place,CSUS,Active,NULL,NULL,NULL,2018-05-29 04:33:51
69602,5266,Thetileapp,CSUS,Active,NULL,NULL,NULL,2018-05-29 04:33:56
69680,5267,City Wonders,CSUS,Active,NULL,NULL,NULL,2018-05-29 04:33:56
69770,5268,Aero Precision,CSUS,Active,NULL,NULL,NULL,2018-05-29 04:33:56
69785,5269,Tara Grinna Swimwear,CSUS,Active,NULL,NULL,NULL,2018-05-29 04:33:56
69881,5270,Omaze,CSUS,Active,NULL,NULL,NULL,2018-05-29 04:33:56
69887,5271,Spartan Bookstore,CSUS,Active,NULL,NULL,NULL,2018-05-29 04:33:56
69926,5272,Usmint.gov,CSUS,Active,NULL,NULL,NULL,2018-05-29 04:34:02
70073,5273,Perfectly Posh,CSUS,Active,NULL,NULL,NULL,2018-05-29 04:34:02
70193,5274,Hogle Zoo,CSUS,Active,NULL,NULL,NULL,2018-05-29 04:34:02
70211,5275,Austin Aquarium,CSUS,Active,NULL,NULL,NULL,2018-05-29 04:34:02
70844,5276,Johnny Shades,CSUS,Active,NULL,NULL,NULL,2018-05-29 04:34:02
71057,5277,Gentleman's Box,CSUS,Active,NULL,NULL,NULL,2018-05-29 04:34:02
71117,5278,Black Rifle Coffee Company,CSUS,Active,NULL,NULL,NULL,2018-05-29 04:34:08
71915,5279,Rustica Hardware,CSUS,Active,NULL,NULL,NULL,2018-05-29 04:34:08
72146,5280,Great Low Carb Bread Company,CSUS,Active,NULL,NULL,NULL,2018-05-29 04:34:08
72341,5281,Overtone,CSUS,Active,NULL,NULL,NULL,2018-05-29 04:34:08
72692,5282,The Great Escape,CSUS,Active,NULL,NULL,NULL,2018-05-29 04:34:13
73049,5283,Sealink,CSUS,Active,NULL,NULL,NULL,2018-05-29 04:34:13
73154,5284,Chamberlain,CSUS,Active,NULL,NULL,NULL,2018-05-29 04:34:13
73160,5285,Print Dirt Cheap,CSUS,Active,NULL,NULL,NULL,2018-05-29 04:34:19
73313,5286,Mystery Ranch,CSUS,Active,NULL,NULL,NULL,2018-05-29 04:34:19
73346,5287,Salt and Straw,CSUS,Active,NULL,NULL,NULL,2018-05-29 04:34:19
73391,5288,Burger Lounge,CSUS,Active,NULL,NULL,NULL,2018-05-29 04:34:24
73658,5289,The Synergy Company,CSUS,Active,NULL,NULL,NULL,2018-05-29 04:34:24
73712,5290,Thermomix,CSUS,Active,NULL,NULL,NULL,2018-05-29 04:34:24
74027,5291,Thrive Market,CSUS,Active,NULL,NULL,NULL,2018-05-29 04:34:24
74486,5292,Grand Frank,CSUS,Active,NULL,NULL,NULL,2018-05-29 04:34:30
74675,5293,Modanisa,CSUS,Active,NULL,NULL,NULL,2018-05-29 04:34:30
75194,5294,Instacart,CSUS,Active,NULL,NULL,NULL,2018-05-29 04:34:35
75461,5295,Feature Sneaker Boutique,CSUS,Active,NULL,NULL,NULL,2018-05-29 04:34:35
75722,5296,Lack of color,CSUS,Active,NULL,NULL,NULL,2018-05-29 04:34:35
75881,5297,Bloomthat,CSUS,Active,NULL,NULL,NULL,2018-05-29 04:34:35
75926,5298,Bottle Breacher,CSUS,Active,NULL,NULL,NULL,2018-05-29 04:34:41
75989,5299,Sunglass Spot,CSUS,Active,NULL,NULL,NULL,2018-05-29 04:34:41
76013,5300,Birkenstock Express,CSUS,Active,NULL,NULL,NULL,2018-05-29 04:34:41
76583,5301,Clothing Shop Online,CSUS,Active,NULL,NULL,NULL,2018-05-29 04:34:46
76718,5302,Rcwilley,CSUS,Active,NULL,NULL,NULL,2018-05-29 04:34:46
76763,5303,Mybkr.com,CSUS,Active,NULL,NULL,NULL,2018-05-29 04:34:51
76817,5304,Rocky Mountain Oils,CSUS,Active,NULL,NULL,NULL,2018-05-29 04:34:52
76820,5305,Japan Crate,CSUS,Active,NULL,NULL,NULL,2018-05-29 04:34:52
76829,5306,Edens Garden,CSUS,Active,NULL,NULL,NULL,2018-05-29 04:34:52
76880,5307,Fuelrewards,CSUS,Active,NULL,NULL,NULL,2018-05-29 04:34:52
