CSUS,25614
CSUS,129152
CSUK,33767
CSUK,15621
CSUS,26832
CSCA,112022
CSUS,25634
CSUS,80132
CSIN,40994
CSUS,40431
CSUS,39820
CSUS,69680
CSUK,16869
CSAU,12108
CSUK,49457
CSAU,9618
CSUS,4670
CSUS,143954
CSUS,62537
CSUS,23859
CSUS,121175
CSAU,7535
CSCA,113709
CSUS,137021
CSUS,75989
CSUS,36208
CSAU,31274
CSAU,31802
CSUS,10009
CSUS,145736
CSUS,18061
CSUS,64490
CSUS,17903
CSUS,70211
CSUK,30242
CSAU,30518
CSAU,15647
CSUS,140714
CSUS,139718
CSUS,10474
CSUS,26143
CSUS,31790
CSUS,39898
CSAU,9499
CSUS,141233
CSUS,126212
CSUS,143477
CSUS,79514
CSUK,7099
CSUS,18902
CSUS,137717
CSUK,28403
CSUS,26351
CSUK,39634
CSAU,14435
CSUS,17840
CSUS,26518
CSUS,89804
CSUS,119297
CSUS,114560
CSUS,55502
CSUK,7602
CSUS,143381
CSUS,133262
CSUS,23977
CSAU,8768
CSUS,116972
CSUS,126005
CSUS,31805
CSUS,110600
CSUK,43619
CSAU,14529
CSAU,31448
CSUK,25946
CSAU,9572
CSCA,113649
CSUS,145808
CSUS,62360
CSUK,11833
CSUS,23783
CSUS,73160
CSIN,47582
CSUS,35134
CSUK,7916
CSUS,90362
CSUS,18845
CSUS,32369
CSUK,42632
CSUS,26753
CSUS,127019
CSUK,9705
CSUS,38150
CSUS,88283
CSUS,17153
CSUS,25450
CSUS,36918
CSUK,5958
CSUS,141584
CSUS,26940
CSUS,147752
CSUS,147488
CSUS,77417
CSUK,18885
CSUK,16827
CSUS,29454
CSUS,110627
CSUS,69176
CSUS,112100
CSUS,8608
CSUS,37268
CSUS,130424
CSUS,3488
CSUS,10149
CSUS,24961
CSUS,30564
CSCA,114059
CSUS,72146
CSUS,119576
CSUS,69503
CSUS,17027
CSUS,10846
CSUS,65270
CSUS,33591
CSUS,85220
CSAU,9379
CSUS,37819
CSUS,7427
CSUS,33356
CSCA,110134
CSUS,39440
CSUK,20627
CSUK,11511
CSCA,110887
CSUS,8067
CSUS,36331
CSUS,36266
CSUK,28304
CSUS,65360
CSUK,49718
CSUS,18022
CSUS,133139
CSAU,9791
CSUS,12904
